institution_id,name,category,region_id,region_name,city,postcode,founded_year,website
1,Imperial College London,University,7,Greater London,London,SW82 2AL,1882,https://www.imperialcollegelondon.ac.uk
2,University College London,University,7,Greater London,London,SW29 3EX,1842,https://www.universitycollegelondon.ac.uk
3,King's College London,University,7,Greater London,London,SW76 7BA,1843,https://www.kingscollegelondon.ac.uk
4,London School of Economics,University,7,Greater London,London,SW28 4WZ,1826,https://www.londonschoolofeconomics.ac.uk
5,Queen Mary University of London,University,7,Greater London,London,SW72 4XS,1876,https://www.queenmaryuniversityoflond.ac.uk
6,"City, University of London",University,7,Greater London,London,SW58 5AG,1998,https://www.cityuniversityoflondon.ac.uk
7,Brunel University London,University,7,Greater London,London,SW55 6LF,1875,https://www.bruneluniversitylondon.ac.uk
8,"Goldsmiths, University of London",University,7,Greater London,London,SW98 6ED,1917,https://www.goldsmithsuniversityoflon.ac.uk
9,SOAS University of London,University,7,Greater London,London,SW13 6QZ,1887,https://www.soasuniversityoflondon.ac.uk
10,University of Westminster,University,7,Greater London,London,SW6 8XE,1916,https://www.universityofwestminster.ac.uk
11,University of East London,University,7,Greater London,London,SW11 9NZ,1912,https://www.universityofeastlondon.ac.uk
12,Middlesex University,University,7,Greater London,London,SW74 4DB,1989,https://www.middlesexuniversity.ac.uk
13,London South Bank University,University,7,Greater London,London,SW30 5DJ,1845,https://www.londonsouthbankuniversity.ac.uk
14,Kingston University,University,7,Greater London,London,SW49 5TQ,1861,https://www.kingstonuniversity.ac.uk
15,University of Oxford,University,8,South East England,Oxford,OX48 6HL,1818,https://www.universityofoxford.ac.uk
16,University of Cambridge,University,6,East of England,Cambridge,CB88 2ZG,1646,https://www.universityofcambridge.ac.uk
17,University of Manchester,University,2,North West England,Manchester,M94 4GT,1917,https://www.universityofmanchester.ac.uk
18,University of Liverpool,University,2,North West England,Liverpool,L35 9JP,1834,https://www.universityofliverpool.ac.uk
19,Lancaster University,University,2,North West England,Lancaster,LA30 1PR,1888,https://www.lancasteruniversity.ac.uk
20,University of Central Lancashire,University,2,North West England,Preston,PR9 4YP,1874,https://www.universityofcentrallancas.ac.uk
21,Liverpool John Moores University,University,2,North West England,Liverpool,L84 8RT,1856,https://www.liverpooljohnmooresuniver.ac.uk
22,Manchester Metropolitan University,University,2,North West England,Manchester,M34 3JX,1957,https://www.manchestermetropolitanuni.ac.uk
23,University of Leeds,University,3,Yorkshire and the Humber,Leeds,LS34 7YR,1912,https://www.universityofleeds.ac.uk
24,University of Sheffield,University,3,Yorkshire and the Humber,Sheffield,S29 3WU,1843,https://www.universityofsheffield.ac.uk
25,University of York,University,3,Yorkshire and the Humber,York,YO97 1EF,1980,https://www.universityofyork.ac.uk
26,University of Bradford,University,3,Yorkshire and the Humber,Bradford,BD21 7ZD,1918,https://www.universityofbradford.ac.uk
27,University of Hull,University,3,Yorkshire and the Humber,Hull,HU49 8WL,1961,https://www.universityofhull.ac.uk
28,Sheffield Hallam University,University,3,Yorkshire and the Humber,Sheffield,S2 2XL,1984,https://www.sheffieldhallamuniversity.ac.uk
29,Leeds Beckett University,University,3,Yorkshire and the Humber,Leeds,LS44 2NS,1860,https://www.leedsbeckettuniversity.ac.uk
30,University of Birmingham,University,5,West Midlands,Birmingham,B59 1LW,1865,https://www.universityofbirmingham.ac.uk
31,University of Warwick,University,5,West Midlands,Coventry,CV65 2NW,1975,https://www.universityofwarwick.ac.uk
32,Aston University,University,5,West Midlands,Birmingham,B26 3QG,1958,https://www.astonuniversity.ac.uk
33,Coventry University,University,5,West Midlands,Coventry,CV68 1ZP,1945,https://www.coventryuniversity.ac.uk
34,Birmingham City University,University,5,West Midlands,Birmingham,B3 2QN,1881,https://www.birminghamcityuniversity.ac.uk
35,Keele University,University,5,West Midlands,Stoke-on-Trent,ST8 4YD,1841,https://www.keeleuniversity.ac.uk
36,University of Nottingham,University,4,East Midlands,Nottingham,NG94 8DX,1852,https://www.universityofnottingham.ac.uk
37,Nottingham Trent University,University,4,East Midlands,Nottingham,NG17 8XG,1887,https://www.nottinghamtrentuniversity.ac.uk
38,University of Leicester,University,4,East Midlands,Leicester,LE68 7HX,2006,https://www.universityofleicester.ac.uk
39,De Montfort University,University,4,East Midlands,Leicester,LE89 4NR,1991,https://www.demontfortuniversity.ac.uk
40,University of Lincoln,University,4,East Midlands,Lincoln,LN84 6TW,1935,https://www.universityoflincoln.ac.uk
41,University of Derby,University,4,East Midlands,Derby,DE16 4JD,1906,https://www.universityofderby.ac.uk
42,University of Bristol,University,9,South West England,Bristol,BS3 9JY,1876,https://www.universityofbristol.ac.uk
43,University of Bath,University,9,South West England,Bath,BA1 2BJ,1837,https://www.universityofbath.ac.uk
44,University of Exeter,University,9,South West England,Exeter,EX5 6DW,1880,https://www.universityofexeter.ac.uk
