record_id,institution_id,year,rating,overall_score,student_satisfaction_pct,graduate_outcome_pct,attendance_rate_pct
1,1,2022,Silver,73,75.6,64.6,
2,1,2023,Silver,79,92.5,68.4,
3,1,2024,Silver,73,91.8,66.2,
4,2,2022,Silver,69,85.4,94.8,
5,2,2023,Silver,82,89.1,70.6,
6,2,2024,Silver,81,79.6,85.3,
7,3,2022,Silver,82,85.9,61.6,
8,3,2023,Silver,77,75.0,91.4,
9,3,2024,Silver,70,82.2,70.8,
10,4,2022,Silver,68,72.8,75.6,
11,4,2023,Silver,80,89.6,78.8,
12,4,2024,Silver,78,73.1,90.9,
13,5,2022,Gold,100,75.3,92.6,
14,5,2023,Silver,72,88.6,85.3,
15,5,2024,Gold,94,70.5,82.4,
16,6,2022,Silver,67,84.2,89.5,
17,6,2023,Silver,78,91.7,85.1,
18,6,2024,Silver,74,88.7,83.1,
19,7,2022,Silver,82,83.1,80.2,
20,7,2023,Silver,80,92.0,73.8,
21,7,2024,Bronze,47,82.6,66.3,
22,8,2022,Silver,70,73.1,77.3,
23,8,2023,Silver,82,80.6,61.5,
24,8,2024,Silver,68,79.8,75.5,
25,9,2022,Silver,81,86.6,72.6,
26,9,2023,Silver,75,81.4,73.0,
27,9,2024,Gold,95,94.9,80.9,
28,10,2022,Gold,85,89.6,66.6,
29,10,2023,Silver,72,89.4,68.4,
30,10,2024,Silver,69,94.9,76.7,
31,11,2022,Bronze,48,94.1,72.1,
32,11,2023,Silver,70,91.4,93.2,
33,11,2024,Silver,83,78.3,75.6,
34,12,2022,Silver,65,81.3,60.9,
35,12,2023,Silver,78,94.4,81.2,
36,12,2024,Silver,68,75.2,87.8,
37,13,2022,Silver,74,77.8,79.4,
38,13,2023,Gold,94,74.0,71.3,
39,13,2024,Gold,92,94.0,68.6,
40,14,2022,Silver,70,90.4,63.1,
41,14,2023,Gold,95,93.7,84.4,
42,14,2024,Silver,84,71.7,80.3,
43,15,2022,Silver,76,91.2,86.7,
44,15,2023,Silver,80,71.1,63.3,
45,15,2024,Silver,65,79.0,78.7,
46,16,2022,Silver,76,83.8,66.5,
47,16,2023,Gold,93,90.0,67.6,
48,16,2024,Silver,77,90.1,90.2,
49,17,2022,Silver,80,85.4,78.0,
50,17,2023,Silver,72,80.9,75.2,
51,17,2024,Silver,74,94.6,70.9,
52,18,2022,Silver,83,82.7,64.1,
53,18,2023,Silver,71,88.8,87.4,
54,18,2024,Bronze,51,84.1,82.2,
55,19,2022,Silver,65,76.9,90.4,
56,19,2023,Silver,69,85.4,90.2,
57,19,2024,Silver,67,85.4,66.1,
58,20,2022,Silver,71,86.1,87.7,
59,20,2023,Silver,78,85.1,76.9,
60,20,2024,Bronze,46,84.4,85.8,
61,21,2022,Silver,69,91.9,63.3,
62,21,2023,Bronze,51,82.8,85.3,
63,21,2024,Silver,71,84.7,88.7,
64,22,2022,Silver,66,72.6,91.1,
65,22,2023,Silver,76,85.5,92.9,
66,22,2024,Silver,78,72.0,79.6,
67,23,2022,Silver,77,82.8,93.3,
68,23,2023,Gold,85,70.2,94.0,
